finding_id,level,hotel_id,hotel_name,area,finding,evidence_metric,evidence_value,support_n,confidence,limitation
SVF001,GLOBAL,,,,Local mapping closure reviewed every prior review/ambiguous hotel without web access.,mapping_cases_reviewed,44.0,44,HIGH,Uncollected complaints remain for newly validated pages.
SVF002,GLOBAL,,,,Clean v2 adds one explicit Selectum Colors complaint while keeping Collection collisions excluded.,clean_v2_rows,237.0,237,HIGH,Corpus remains complaint-focused and self-selected.
SVF003,GLOBAL,,,,"Visible company replies are an operational visibility signal, not resolution.",company_reply_visibility_pct,16.46,237,HIGH,Reply presence does not show outcome or satisfaction.
SVF004,GLOBAL_ASPECT,,,,STAFF_SERVICE is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,67.51,160,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF005,GLOBAL_ASPECT,,,,ROOM is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,60.34,143,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF006,GLOBAL_ASPECT,,,,MANAGEMENT_COMMUNICATION is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,59.49,141,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF007,GLOBAL_ASPECT,,,,PAYMENT_REFUND is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,51.9,123,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF008,GLOBAL_ASPECT,,,,FOOD_BEVERAGE is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,51.9,123,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF009,GLOBAL_ASPECT,,,,PRICE_VALUE is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,48.1,114,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF010,GLOBAL_ASPECT,,,,CLEANLINESS_HYGIENE is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,45.15,107,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF011,GLOBAL_ASPECT,,,,RESERVATION is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,40.08,95,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF012,GLOBAL_ASPECT,,,,FACILITIES_MAINTENANCE is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,38.82,92,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF013,GLOBAL_ASPECT,,,,BEACH_SEA is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,29.96,71,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF014,HOTEL,BOD004,Bendis Beach Hotel,Akyarlar,Supported complaint corpus recurrently mentions FOOD_BEVERAGE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,75.0,12,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF015,HOTEL,BOD006,Club Marma Hotel,Akyarlar,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,100.0,5,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF016,HOTEL,BOD007,Kefaluka Resort,Akyarlar,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,65.52,29,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF017,HOTEL,BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,80.0,5,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF018,HOTEL,BOD045,Salmakis Resort & Spa,Bodrum Merkez,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,100.0,7,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF019,HOTEL,BOD067,Sami Beach Hotel,Gümbet,Supported complaint corpus recurrently mentions RESERVATION; this is not a hotel-quality ranking.,aspect_mention_rate_pct,83.33,6,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
