aspect,keyword,keyword_type,source,document_count,included,notes
STAFF_SERVICE,personel,unigram,manual_master_prompt_17.3,73,True,
STAFF_SERVICE,çalışan,unigram,manual_master_prompt_17.3,59,True,
STAFF_SERVICE,garson,unigram,manual_master_prompt_17.3,18,True,
STAFF_SERVICE,resepsiyon,unigram,manual_master_prompt_17.3,20,True,
STAFF_SERVICE,animasyon,unigram,manual_master_prompt_17.3,49,True,
STAFF_SERVICE,ilgili,unigram,manual_master_prompt_17.3,46,True,
STAFF_SERVICE,güler yüzlü,phrase,manual_master_prompt_17.3,54,True,
STAFF_SERVICE,yardımcı,unigram,manual_master_prompt_17.3,25,True,
STAFF_SERVICE,nazik,unigram,manual_master_prompt_17.3,9,True,
STAFF_SERVICE,kibar,unigram,manual_master_prompt_17.3,5,True,
STAFF_SERVICE,ilgisiz,unigram,manual_master_prompt_17.3,4,True,
STAFF_SERVICE,kaba,unigram,manual_master_prompt_17.3,4,True,
STAFF_SERVICE,hizmet,unigram,manual_master_prompt_17.3,58,True,
STAFF_SERVICE,servis,unigram,manual_master_prompt_17.3,27,True,
STAFF_SERVICE,ağırlama,unigram,manual_master_prompt_17.3,0,True,
STAFF_SERVICE,karşılama,unigram,manual_master_prompt_17.3,15,True,
STAFF_SERVICE,profesyonel,unigram,manual_master_prompt_17.3,17,True,
CLEANLINESS_HYGIENE,temiz,unigram,manual_master_prompt_17.3,103,True,
CLEANLINESS_HYGIENE,tertemiz,unigram,manual_master_prompt_17.3,6,True,
CLEANLINESS_HYGIENE,hijyen,unigram,manual_master_prompt_17.3,22,True,
CLEANLINESS_HYGIENE,hijyenik,unigram,manual_master_prompt_17.3,0,True,
CLEANLINESS_HYGIENE,kirli,unigram,manual_master_prompt_17.3,9,True,
CLEANLINESS_HYGIENE,pis,unigram,manual_master_prompt_17.3,14,True,
CLEANLINESS_HYGIENE,lekeli,unigram,manual_master_prompt_17.3,3,True,
CLEANLINESS_HYGIENE,koku,unigram,manual_master_prompt_17.3,8,True,
CLEANLINESS_HYGIENE,çarşaf,unigram,manual_master_prompt_17.3,10,True,
CLEANLINESS_HYGIENE,havlu,unigram,manual_master_prompt_17.3,17,True,
CLEANLINESS_HYGIENE,temizlik,unigram,manual_master_prompt_17.3,28,True,
FOOD_BEVERAGE,yemek,unigram,manual_master_prompt_17.3,126,True,
FOOD_BEVERAGE,kahvaltı,unigram,manual_master_prompt_17.3,13,True,
FOOD_BEVERAGE,restoran,unigram,manual_master_prompt_17.3,58,True,
FOOD_BEVERAGE,büfe,unigram,manual_master_prompt_17.3,7,True,
FOOD_BEVERAGE,açık büfe,phrase,manual_master_prompt_17.3,6,True,
FOOD_BEVERAGE,lezzetli,unigram,manual_master_prompt_17.3,47,True,
FOOD_BEVERAGE,çeşit,unigram,manual_master_prompt_17.3,57,True,
