area,area_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag,mapping_coverage_pct,coverage_flag
Akyarlar,55,STAFF_SERVICE,40,72.72727272727273,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,CLEANLINESS_HYGIENE,28,50.90909090909091,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,FOOD_BEVERAGE,32,58.18181818181818,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,ROOM,35,63.63636363636363,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,BEACH_SEA,16,29.09090909090909,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,POOL,10,18.181818181818183,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,FACILITIES_MAINTENANCE,24,43.63636363636363,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,RESERVATION,21,38.18181818181818,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,PAYMENT_REFUND,24,43.63636363636363,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,PRICE_VALUE,28,50.90909090909091,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,CHECKIN_CHECKOUT,2,3.6363636363636362,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,AIR_CONDITIONING,2,3.6363636363636362,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,NOISE,2,3.6363636363636362,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,FAMILY_CHILDREN,15,27.272727272727273,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,TRANSPORT_TRANSFER,1,1.8181818181818181,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,MANAGEMENT_COMMUNICATION,32,58.18181818181818,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,SPA_WELLNESS,3,5.454545454545454,False,31.25,ADEQUATE_EXPLORATORY
Akyarlar,55,SAFETY_SECURITY,12,21.818181818181817,False,31.25,ADEQUATE_EXPLORATORY
Bitez,1,STAFF_SERVICE,1,100.0,True,5.555555555555555,LOW
Bitez,1,CLEANLINESS_HYGIENE,0,0.0,True,5.555555555555555,LOW
Bitez,1,FOOD_BEVERAGE,0,0.0,True,5.555555555555555,LOW
Bitez,1,ROOM,1,100.0,True,5.555555555555555,LOW
Bitez,1,BEACH_SEA,0,0.0,True,5.555555555555555,LOW
Bitez,1,POOL,0,0.0,True,5.555555555555555,LOW
Bitez,1,FACILITIES_MAINTENANCE,0,0.0,True,5.555555555555555,LOW
Bitez,1,RESERVATION,0,0.0,True,5.555555555555555,LOW
Bitez,1,PAYMENT_REFUND,1,100.0,True,5.555555555555555,LOW
