hotel_id,place_id,hotel_name,area,district,province,country,property_category,official_star_rating,google_rating,google_rating_scale,google_review_count,search_price_usd_snapshot,price_note,address,phone,business_status,collected_at,source_url,area_hotel_count,has_price_snapshot,has_official_star_rating,has_phone,has_business_status,review_count_log1p,review_confidence_weight,weighted_google_rating,area_median_google_rating,rating_gap_from_area_median,area_median_price_snapshot,price_gap_from_area_median,price_ratio_to_area_median,price_percentile_within_area,review_count_percentile_within_area,official_facility_id,official_name,official_type,official_star_rating_verified,official_room_count,official_bed_count,official_phone_verified,official_address_area,official_match_score,official_match_method,official_source_url,official_match_status
BOD001,ChIJAxKJBV4MvhQRxCb482IcG0M,Aksoy Taş Ev,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.7,5,135,194.0,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Akyarlar, Tarik Akan Sk NO:15, 48960 Bodrum/Muğla, Türkiye",+905414124141,,2026-08-24,https://www.google.com/maps/search/?api=1&query=Aksoy%20Ta%C5%9F%20Ev&query_place_id=ChIJAxKJBV4MvhQRxCb482IcG0M,16,True,False,True,False,4.912654885736052,0.2246256239600665,4.43911882972823,4.4,0.2999999999999998,192.5,1.5,1.0077922077922077,0.5833333333333334,0.125,,,,,,,,,,,,UNMATCHED
BOD002,ChIJqWC7b3YMvhQRCR9qlsxFzmQ,Armonia Holiday Village & Spa,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.2,5,3197,191.0,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Turgutreis, Kemer Mevkii, 48400 Bodrum/Muğla, Türkiye",+902529991303,,2026-08-24,https://www.google.com/maps/search/?api=1&query=Armonia%20Holiday%20Village%20%26%20Spa&query_place_id=ChIJqWC7b3YMvhQRCR9qlsxFzmQ,16,True,False,True,False,8.0702808933939,0.8727818727818728,4.220805464555465,4.4,-0.2000000000000001,192.5,-1.5,0.9922077922077922,0.5,0.8125,,,,,,,,,,,,UNMATCHED
BOD003,ChIJS8TbUlYNvhQR_fh-bq0pJDg,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.3,5,246,57.0,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Akyarlar, atatürk akyarlar caddesi no 253, 48960 Bodrum/Muğla, Türkiye",+905308656175,,2026-08-24,https://www.google.com/maps/search/?api=1&query=ASPAT%20HOTEL%20BODRUM%20Beach%20Restaurant&query_place_id=ChIJS8TbUlYNvhQR_fh-bq0pJDg,16,True,False,True,False,5.5093883366279774,0.3455056179775281,4.341587663857678,4.4,-0.1000000000000005,192.5,-135.5,0.2961038961038961,0.0833333333333333,0.25,,,,,,,,,,,,UNMATCHED
BOD004,ChIJXUoh1okLvhQR-k-X9ouGc3c,Bendis Beach Hotel,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,3.9,5,2469,104.0,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Akyarlar, Kemer Mevkii No: 24, 48960 Bodrum/Muğla, Türkiye",+902523210924,,2026-08-24,https://www.google.com/maps/search/?api=1&query=Bendis%20Beach%20Hotel&query_place_id=ChIJXUoh1okLvhQR-k-X9ouGc3c,16,True,False,True,False,7.8119734296220225,0.8412265758091994,3.9735980976717777,4.4,-0.5000000000000004,192.5,-88.5,0.5402597402597402,0.25,0.75,,,,,,,,,,,,UNMATCHED
BOD005,ChIJdTwebV4MvhQRVC_Shj1Cjqo,ByAkkan,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.4,5,203,84.0,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Akyarlar, Tarik Akan Sk No:33, 48000 Bodrum/Muğla, Türkiye",+905324996884,,2026-08-24,https://www.google.com/maps/search/?api=1&query=ByAkkan&query_place_id=ChIJdTwebV4MvhQRVC_Shj1Cjqo,16,True,False,True,False,5.318119993844216,0.3034379671150972,4.374604509217738,4.4,0.0,192.5,-108.5,0.4363636363636363,0.1666666666666666,0.1875,,,,,,,,,,,,UNMATCHED
BOD006,ChIJ8ShlrJkNvhQR0AEjC-bO7mY,Club Marma Hotel,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.3,5,1373,,,"Akyarlar, 4275 Sok, 48960 Bodrum/Muğla, Türkiye",+902526060333,,2026-08-24,https://www.google.com/maps/search/?api=1&query=Club%20Marma%20Hotel&query_place_id=ChIJ8ShlrJkNvhQR0AEjC-bO7mY,16,False,False,True,False,7.2254814727822945,0.7466014138118543,4.316101368497372,4.4,-0.1000000000000005,192.5,,,,0.5625,,,,,,,,,,,,UNMATCHED
BOD007,ChIJR3WEqUQMvhQRqL7yEhV49vg,Kefaluka Resort,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.4,5,4293,,,"Turgutreis - Bodrum/Bodrum Muğla TR, Akyarlar, Barış Manço Cd. No:63, 48960, Türkiye",+902523110390,,2026-08-24,https://www.google.com/maps/search/?api=1&query=Kefaluka%20Resort&query_place_id=ChIJR3WEqUQMvhQRqL7yEhV49vg,16,False,False,True,False,8.364973978438726,0.902080268964068,4.396430009805982,4.4,0.0,192.5,,,,0.9375,,,,,,,,,,,,UNMATCHED
BOD008,ChIJr_h97zMNvhQRusMJ4yJ25-0,LA BREZZA SUITE &HOTEL,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.5,5,424,121.0,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Akyarlar, Atatürk Cd. No:224, 48000 Bodrum/Muğla, Türkiye",+905352077422,,2026-08-24,https://www.google.com/maps/search/?api=1&query=LA%20BREZZA%20SUITE%20%26HOTEL&query_place_id=ChIJr_h97zMNvhQRusMJ4yJ25-0,16,True,False,True,False,6.052089168924417,0.4764044943820225,4.428551029962547,4.4,0.0999999999999996,192.5,-71.5,0.6285714285714286,0.3333333333333333,0.375,OFFBOD097,LA BREZZA SUIT& HOTEL,3 YILDIZLI OTEL,3.0,31.0,62.0,0252 393 6677,Akyarlar,0.7854,fuzzy,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,MATCHED_HIGH_CONFIDENCE
BOD009,ChIJAYOGrEwNvhQRJyQb3JRrwh4,LİV OTEL,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.4,5,546,216.0,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Akyarlar, X8F2+MC5, 48960 Bodrum/Muğla, Türkiye",+902523936633,,2026-08-24,https://www.google.com/maps/search/?api=1&query=L%C4%B0V%20OTEL&query_place_id=ChIJAYOGrEwNvhQRJyQb3JRrwh4,16,True,False,True,False,6.304448802421981,0.5395256916996047,4.383211874176548,4.4,0.0,192.5,23.5,1.122077922077922,0.6666666666666666,0.4375,OFFBOD157,LIV HOTEL BY BELLAZURE,BUTİK OTEL,4.0,60.0,120.0,0252 393 6633,Turgutreis,0.95,phone_exact,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,MATCHED_HIGH_CONFIDENCE
BOD010,ChIJiRcDgfYMvhQR49TV5eXv2-Y,Mare Garden Hotel,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.2,5,288,165.0,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Akyarlar, Atatürk Cd. No:339, 48960 Bodrum/Muğla, Türkiye",+902523938110,,2026-08-24,https://www.google.com/maps/search/?api=1&query=Mare%20Garden%20Hotel&query_place_id=ChIJiRcDgfYMvhQR49TV5eXv2-Y,16,True,False,True,False,5.666426688112432,0.3819628647214854,4.30107482316534,4.4,-0.2000000000000001,192.5,-27.5,0.8571428571428571,0.4166666666666667,0.3125,,,,,,,,,,,,UNMATCHED
