area,sample_hotel_count,sample_supply_share_pct,avg_google_rating,median_google_rating,total_google_reviews,median_google_reviews,review_intensity_per_sample_hotel,price_observation_n,median_price_usd_snapshot,mean_price_usd_snapshot,median_price_index_vs_14_area_median,avg_rating_index_vs_14_area_mean,dominant_property_category,official_facility_count_confidently_mapped,official_room_count_confidently_mapped,official_bed_count_confidently_mapped,official_5star_count_confidently_mapped,official_4star_count_confidently_mapped,official_boutique_count_confidently_mapped,has_marina_official_context,weekly_market_days_official_context,has_weekly_market_official_context,source_hotel_metrics,source_official_facilities,source_market_marina_context,source_retrieved_at,v1_limitations
Gündoğan,14,7.29,4.5857,4.5,6520,275.0,465.71,14,189.5,211.21,113.47,105.06,Otel,11,874,1788,2,3,3,False,Çarşamba,True,https://github.com/nihatkutukoglu/bodrum-otel/blob/main/reports/eda_destination_profile.csv,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,https://mugla.ktb.gov.tr/TR-296343/alisveris.html,2026-08-25,V1: resmi tesis kapasitesi yalnız adresi güvenle 14 proje bölgesinden birine eşlenen kayıtlardan türetildi. OSM restoran/plaj/gece hayatı/POI sayımları henüz eklenmedi.
Gümüşlük,15,7.81,4.5067,4.5,4166,276.0,277.73,13,106.0,102.31,63.47,103.25,Otel,1,167,354,0,1,0,False,Çarşamba,True,https://github.com/nihatkutukoglu/bodrum-otel/blob/main/reports/eda_destination_profile.csv,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,https://mugla.ktb.gov.tr/TR-296343/alisveris.html,2026-08-25,V1: resmi tesis kapasitesi yalnız adresi güvenle 14 proje bölgesinden birine eşlenen kayıtlardan türetildi. OSM restoran/plaj/gece hayatı/POI sayımları henüz eklenmedi.
Göltürkbükü,10,5.21,4.48,4.45,6008,318.0,600.8,10,165.0,311.9,98.8,102.64,Otel,3,712,1606,3,0,0,False,Salı (Gölköy),True,https://github.com/nihatkutukoglu/bodrum-otel/blob/main/reports/eda_destination_profile.csv,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,https://mugla.ktb.gov.tr/TR-296343/alisveris.html,2026-08-25,V1: resmi tesis kapasitesi yalnız adresi güvenle 14 proje bölgesinden birine eşlenen kayıtlardan türetildi. OSM restoran/plaj/gece hayatı/POI sayımları henüz eklenmedi.
Yalıkavak,22,11.46,4.4636,4.45,9571,296.0,435.05,22,329.5,355.05,197.31,102.26,Otel,13,1032,2321,3,2,5,True,Salı (sebze-meyve); Perşembe,True,https://github.com/nihatkutukoglu/bodrum-otel/blob/main/reports/eda_destination_profile.csv,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,https://mugla.ktb.gov.tr/TR-296343/alisveris.html,2026-08-25,V1: resmi tesis kapasitesi yalnız adresi güvenle 14 proje bölgesinden birine eşlenen kayıtlardan türetildi. OSM restoran/plaj/gece hayatı/POI sayımları henüz eklenmedi.
Akyarlar,16,8.33,4.45,4.4,27426,1056.0,1714.12,12,192.5,284.42,115.27,101.95,Otel,7,1005,2067,1,4,0,False,Perşembe,True,https://github.com/nihatkutukoglu/bodrum-otel/blob/main/reports/eda_destination_profile.csv,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,https://mugla.ktb.gov.tr/TR-296343/alisveris.html,2026-08-25,V1: resmi tesis kapasitesi yalnız adresi güvenle 14 proje bölgesinden birine eşlenen kayıtlardan türetildi. OSM restoran/plaj/gece hayatı/POI sayımları henüz eklenmedi.
Türkbükü,6,3.12,4.45,4.45,3670,537.0,611.67,6,532.0,956.0,318.56,101.95,Otel,5,127,288,0,2,1,False,Pazartesi,True,https://github.com/nihatkutukoglu/bodrum-otel/blob/main/reports/eda_destination_profile.csv,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,https://mugla.ktb.gov.tr/TR-296343/alisveris.html,2026-08-25,V1: resmi tesis kapasitesi yalnız adresi güvenle 14 proje bölgesinden birine eşlenen kayıtlardan türetildi. OSM restoran/plaj/gece hayatı/POI sayımları henüz eklenmedi.
Turgutreis,7,3.65,4.4286,4.6,14095,1608.0,2013.57,6,123.5,182.83,73.95,101.46,Otel,24,2901,6582,6,5,2,True,Cumartesi,True,https://github.com/nihatkutukoglu/bodrum-otel/blob/main/reports/eda_destination_profile.csv,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,https://mugla.ktb.gov.tr/TR-296343/alisveris.html,2026-08-25,V1: resmi tesis kapasitesi yalnız adresi güvenle 14 proje bölgesinden birine eşlenen kayıtlardan türetildi. OSM restoran/plaj/gece hayatı/POI sayımları henüz eklenmedi.
Torba,21,10.94,4.3667,4.4,23707,372.0,1128.9,17,248.0,532.65,148.5,100.04,Otel,12,1880,4339,5,1,2,False,,False,https://github.com/nihatkutukoglu/bodrum-otel/blob/main/reports/eda_destination_profile.csv,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,https://mugla.ktb.gov.tr/TR-296343/alisveris.html,2026-08-25,V1: resmi tesis kapasitesi yalnız adresi güvenle 14 proje bölgesinden birine eşlenen kayıtlardan türetildi. OSM restoran/plaj/gece hayatı/POI sayımları henüz eklenmedi.
Bodrum Merkez,13,6.77,4.3,4.3,18174,1575.0,1398.0,13,169.0,242.85,101.2,98.51,Otel,29,2791,5832,9,6,2,True,Salı; Perşembe; Cuma,True,https://github.com/nihatkutukoglu/bodrum-otel/blob/main/reports/eda_destination_profile.csv,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,https://mugla.ktb.gov.tr/TR-296343/alisveris.html,2026-08-25,V1: resmi tesis kapasitesi yalnız adresi güvenle 14 proje bölgesinden birine eşlenen kayıtlardan türetildi. OSM restoran/plaj/gece hayatı/POI sayımları henüz eklenmedi.
Kadıkalesi,4,2.08,4.3,4.35,11520,2683.0,2880.0,3,446.0,583.67,267.07,98.51,Otel,2,681,1374,2,0,0,False,,False,https://github.com/nihatkutukoglu/bodrum-otel/blob/main/reports/eda_destination_profile.csv,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,https://mugla.ktb.gov.tr/TR-296343/alisveris.html,2026-08-25,V1: resmi tesis kapasitesi yalnız adresi güvenle 14 proje bölgesinden birine eşlenen kayıtlardan türetildi. OSM restoran/plaj/gece hayatı/POI sayımları henüz eklenmedi.
Ortakent-Yahşi,21,10.94,4.2952,4.3,9874,261.0,470.19,11,130.0,150.09,77.84,98.41,Otel,10,726,1455,0,2,2,False,Çarşamba,True,https://github.com/nihatkutukoglu/bodrum-otel/blob/main/reports/eda_destination_profile.csv,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,https://mugla.ktb.gov.tr/TR-296343/alisveris.html,2026-08-25,V1: resmi tesis kapasitesi yalnız adresi güvenle 14 proje bölgesinden birine eşlenen kayıtlardan türetildi. OSM restoran/plaj/gece hayatı/POI sayımları henüz eklenmedi.
Bitez,18,9.38,4.2278,4.35,12354,624.0,686.33,18,131.5,208.61,78.74,96.86,Otel,14,1157,2736,2,3,0,False,Perşembe,True,https://github.com/nihatkutukoglu/bodrum-otel/blob/main/reports/eda_destination_profile.csv,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,https://mugla.ktb.gov.tr/TR-296343/alisveris.html,2026-08-25,V1: resmi tesis kapasitesi yalnız adresi güvenle 14 proje bölgesinden birine eşlenen kayıtlardan türetildi. OSM restoran/plaj/gece hayatı/POI sayımları henüz eklenmedi.
Güvercinlik,10,5.21,4.16,4.25,25239,1082.5,2523.9,8,162.5,195.62,97.31,95.31,Otel,0,0,0,0,0,0,False,Pazartesi,True,https://github.com/nihatkutukoglu/bodrum-otel/blob/main/reports/eda_destination_profile.csv,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,https://mugla.ktb.gov.tr/TR-296343/alisveris.html,2026-08-25,V1: resmi tesis kapasitesi yalnız adresi güvenle 14 proje bölgesinden birine eşlenen kayıtlardan türetildi. OSM restoran/plaj/gece hayatı/POI sayımları henüz eklenmedi.
Gümbet,15,7.81,4.0933,4.0,32519,1489.0,2167.93,15,128.0,171.73,76.65,93.78,Otel,24,3219,6662,6,6,0,False,Pazar,True,https://github.com/nihatkutukoglu/bodrum-otel/blob/main/reports/eda_destination_profile.csv,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,https://mugla.ktb.gov.tr/TR-296343/alisveris.html,2026-08-25,V1: resmi tesis kapasitesi yalnız adresi güvenle 14 proje bölgesinden birine eşlenen kayıtlardan türetildi. OSM restoran/plaj/gece hayatı/POI sayımları henüz eklenmedi.
